"LOCATION","Country","FREQUENCY","Frequency","MEAS","Measure","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","A","Annual","PCT","Percentage of employees","1960","1960",53.799999,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1961","1961",53.200001,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1962","1962",51.400002,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1963","1963",49.700001,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1964","1964",48.200001,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1965","1965",47.900002,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1966","1966",45.799999,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1967","1967",45,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1968","1968",44.799999,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1969","1969",44.400002,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1970","1970",44.200001,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1971","1971",45.400002,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1972","1972",46.299999,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1973","1973",47.200001,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1974","1974",48.799999,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1975","1975",50.099998,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1976","1976",49.5,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1977","1977",48.700001,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1978","1978",49.200001,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1979","1979",49.599998,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1980","1980",49.599998,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1981","1981",49.099998,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1982","1982",49.400002,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1983","1983",47.299999,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1984","1984",46.299999,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1985","1985",46.099998,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1986","1986",45.400002,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1987","1987",44.400002,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1988","1988",42.799999,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1989","1989",41.400002,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1990","1990",41.299999,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1991","1991",42,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1992","1992",39.200001,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1993","1993",37.700001,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1994","1994",33.799999,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1995","1995",32.900002,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1996","1996",31.200001,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1997","1997",30.299999,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1998","1998",28.1,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","1999","1999",26,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","2000","2000",24.9,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","2001","2001",24.6,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","2002","2002",23.200001,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","2003","2003",23.200001,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","2004","2004",22.799999,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","2005","2005",22.5,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","2006","2006",20.4,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","2007","2007",18.799999,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","2008","2008",18.799999,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","2009","2009",19.6,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","2010","2010",18.4,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","2011","2011",18.4,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","2012","2012",18.200001,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","2013","2013",17,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","2014","2014",15.1,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","2016","2016",14.6,,
"AUS","Australia","A","Annual","PCT","Percentage of employees","2018","2018",13.7,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1960","1960",60.099998,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1961","1961",59.599998,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1962","1962",59,,
